, 1, Baahubali 2: The Conclusion, 2017, 8.2, watched, 3
, 2, 3 Idiots, 2009, 8.4, watched, 1
, 3, PK, 2014, 8.1, watched, 3
, 4, Bajrangi Bhaijaan, 2015, 8.0, watched, 1
, 5, Secret Superstar, 2017, 7.8, watched, 2
, 6, Taare Zameen Par, 2007, 8.4, watched, 4
, 7, Padmaavat, 2018, 7.0, watched, 1
, 8, Lagaan, 2001, 8.1, watched, 3
, 9, Gully Boy, 2019, 8.2, watched, 1
, 10, Andhadhun, 2018, 8.3, watched, 2
, 11, Arjun Reddy, 2017, 8.1, watched, 1
, 12, Ala Vaikunthapurramuloo, 2020, 7.9, watched, 1
, 13, Rangasthalam, 2018, 8.4, watched, 2
, 14, Maharshi, 2019, 7.3, watched, 1
, 15, Eega, 2012, 7.8, watched, 1
, 16, Jersey, 2019, 8.5, watched, 4
, 17, Fidaa, 2017, 7.5, watched, 2
, 18, Geetha Govindam, 2018, 7.7, watched, 2
, 19, Agent Sai Srinivasa Athreya, 2019, 8.4, watched, 1
, 20, KGF Chapter 1, 2018, 8.2, watched, 1
