, 1, Drishyam, 2013, 8.9, watched, 4
, 2, Premam, 2015, 8.3, watched, 1
, 3, Bangalore Days, 2014, 8.3, watched, 3
, 4, Lucifer, 2019, 7.9, watched, 2
, 5, Ustad Hotel, 2012, 8.3, watched, 1
, 6, Charlie, 2015, 7.8, watched, 1
, 7, Maheshinte Prathikaaram, 2016, 8.3, watched, 2
, 8, Kumbalangi Nights, 2019, 8.7, watched, 1
, 9, Pathemari, 2015, 8.0, watched, 2
, 10, Take Off, 2017, 8.3, dropped, 2
, 11, Vikram Vedha, 2017, 8.6, watched, 4
, 12, 96, 2018, 8.4, watched, 1
, 13, Kaithi, 2019, 8.5, watched, 1
, 14, Asuran, 2019, 8.5, watched, 4
, 15, Super Deluxe, 2019, 8.4, watched, 1
, 16, Vada Chennai, 2018, 8.4, watched, 3
, 17, Pariyerum Perumal, 2018, 8.5, watched, 1
, 18, Visaranai, 2015, 8.5, watched, 1
, 19, Kaaka Muttai, 2014, 8.4, watched, 3
, 20, Irudhi Suttru, 2016, 7.7, watched, 2
